name,number,material,thickness,length,width,bend_nums,radius,tool_exchange,side,schroder,henra,special,weight
Wspornik lampy prawej,180.100.16.00,OCYNK,3,337,278.6,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.21
Podłużnica,180.101.04.10,OCYNK,2.5,3350,415.74,9,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,27.33
Podłużnica,180.101.04.20,OCYNK,2.5,3350,415.74,9,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,27.33
Blacha burty tylnej,180.182.01.00,OCYNK,1,1847,478.7,4,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,6.94
Mocowanie błotnika Tema,180.220.02.10,OCYNK,3,310,185.71,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.36
Mocowanie błotnika Tema,180.220.02.20,OCYNK,3,310,185.71,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.36
Poprzeczka p/t,180.300.00.02,OCYNK,2,1894,127.05,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.78
Poprzeczka górna,180.301.00.01,OCYNK,1.5,1896,119.9,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.68
Blacha kabłąka przód/tył,180.301.00.02,OCYNK,1.5,1896,193.1,9,1.5,FAŁSZ,FAŁSZ,PRAWDA,FAŁSZ,FAŁSZ,4.31
Poprzeczka boczna,180.301.00.04,OCYNK,1.5,3300,119.9,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.66
Podłużnica,181.100.03.10,OCYNK,2,2350,294.56,5,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,10.87
Podłużnica,181.100.03.20,OCYNK,2,2350,294.56,5,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,10.87
Belka przód,181.100.04.00,OCYNK,2,1442,242,5,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.48
Wzmocnienie pod oś,181.100.05.10,OCYNK,3,1220,197.7,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.68
Wzmocnienie pod oś,181.100.05.20,OCYNK,3,1220,197.7,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.68
Łącznik,181.100.16.00,OCYNK,3,56,121,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.16
Ramię dyszla,181.120.01.10,OCYNK,3,1753,247.7,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,10.23
Ramię dyszla,181.120.01.20,OCYNK,3,1753,247.7,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,10.23
Belka wspornika,181.120.03.01,CZARNA,3,752,137.3,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.43
Blacha burty przedniej,181.161.01.00,OCYNK,1,1343,388.2,7,1,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,4.09
Blacha burty tylnej,181.182.01.00,OCYNK,1,1386,478.7,4,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,5.21
Podłużnica,185.100.01.10,OCYNK,2.5,4061,415.7,9,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,33.13
Podłużnica,185.100.01.20,OCYNK,2.5,4061,415.7,9,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,33.13
Belka środkowa,185.100.02.00,OCYNK,2,1718,196,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.29
Wzmocnienie pod oś,185.100.04.10,OCYNK,3,1609,196.6,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.45
Wzmocnienie pod oś,185.100.04.20,OCYNK,3,1609,196.6,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.45
Szyna,186.002.00.01,OCYNK,2.5,1721,159,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.37
Blokada,186.002.00.04,OCYNK,2,62,247,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.24
Docisk,186.002.00.05,OCYNK,2.5,300,77,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.45
Zderzak,186.002.00.06,OCYNK,2,300,75.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.36
Belka tylna,186.100.01.00,OCYNK,3,1894,303.8,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,13.55
Wspornik podłogi,186.100.07.00,OCYNK,3,1985,76.2,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.56
Wspornik błotnika,186.220.01.00,OCYNK,3,65,151,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.23
Wkładka słupka,190.140.01.03,CZARNA,1.5,200,90.85,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.21
Docisk najazdu,20.50.000.02.04,OCYNK,2.5,280,101.2,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.56
Wspornik podłogi,20.50.100.21.04,CZARNA,4,35,61.64,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.07
