name,number,material,thickness,length,width,bend_nums,radius,tool_exchange,side,schroder,henra,special,weight
Wzmocnienie,212.005.02.01,OCYNK,2.5,1152,77,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.74
Poprzeczka dolna,212.100.00.01,CZARNA,2,1187,93.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.74
Poprzeczka,212.100.00.03,OCYNK,2,1170,142,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.61
Profil ramki,212.100.00.04,CZARNA,2,1281,130,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.61
Belka dolna ramki przedniej,212.100.00.09,CZARNA,2,1281,200,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.02
Poprzeczka,212.100.00.11,OCYNK,3,1170,166,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.57
Poprzeczka,212.100.00.12,OCYNK,3,1170,166,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.57
Kątownik przedni,212.100.01.10,CZARNA,2,1593,96.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.41
Kątownik przedni,212.100.01.20,CZARNA,2,1593,96.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.41
Tablica,212.100.04.02,CZARNA,2,1280,356.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.16
Podłużnica,212.100.05.10,OCYNK,2,2432,252.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,9.64
Tablica,212.100.06.01,CZARNA,2,1280,393.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.91
Wspornik ramki,212.100.06.10,CZARNA,4,163,202.3,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.04
Wspornik ramki,212.100.06.20,CZARNA,4,163,202.3,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.04
Łącznik narożny,212.100.08.00,OCYNK,2.5,120,120,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.28
Wzmocnienie,212.100.09.10,OCYNK,3,1240,120.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.51
Słupek tylny zewnętrzny,212.100.11.10,CZARNA,2,1752,167,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.59
Słupek tylny zewnętrzny,212.100.11.20,CZARNA,2,1752,167,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.59
Uchwyt mocowań,213.000.00.02,OCYNK,2.5,2908,118.5,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.76
Kątownik górny boczny,213.001.00.02,CZARNA,2,2916,96.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.42
Kątownik górny przedni,213.001.00.08,CZARNA,2,1506,94.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.23
Daszek,213.001.00.11,OCYNK,2,1500,97.88,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.31
Ramka drzwi pion,213.003.00.02,OCYNK,1,1740,44.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.61
Ramka drzwi poziom,213.003.00.03,OCYNK,1,665,44.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.23
Poprzeczka górna,213.003.00.07,CZARNA,2,1506,168,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.97
Wzmocnienie drzwi,213.003.00.12,OCYNK,1.5,1700,104.9,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.1
Słupek tylny zewnętrzny,213.003.03.10,CZARNA,2,2030,167,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.32
Słupek tylny zewnętrzny,213.003.03.20,CZARNA,2,2030,167,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.32
Słupek tylny zewnętrzny,213.003.07.10,CZARNA,2,2067,167,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.42
Wspornik,213.005.00.05,OCYNK,2,1624,180,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.59
Wzmocnienie,213.005.02.01,OCYNK,2.5,1373,76.7,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.07
Poprzeczka dolna,213.100.00.01,CZARNA,2,1407,91.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.02
Poprzeczka dolna ramki przód,213.100.00.02,CZARNA,2,1506,200,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.73
Poprzeczka,213.100.00.03,OCYNK,2,1390,142,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.1
Profil ramki,213.100.00.04,CZARNA,2,1503,130,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.07
Poprzeczka,213.100.00.05,OCYNK,3,1390,166,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.43
Poprzeczka,213.100.00.08,OCYNK,3,1390,166,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.43
Kątownik przedni,213.100.01.10,CZARNA,2,1904,96.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.88
Kątownik przedni,213.100.01.20,CZARNA,2,1904,96.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.88
Podłużnica,213.100.03.10,OCYNK,2,2932,252.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,11.62
Podłużnica,213.100.03.20,OCYNK,2,2932,252.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,11.62
Tablica,213.100.04.02,CZARNA,2,1500,365.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,8.61
Tablica,213.100.06.01,CZARNA,2,1500,402.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,9.48
Słupek przedni,215.000.16.10,ALU,3,1933,180.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.82
Słupek przedni,215.000.16.20,ALU,3,1933,180.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.82
Słupek tylny,215.000.17.10,ALU,3,2029,214.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.52
Słupek tylny,215.000.17.20,ALU,3,2029,214.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.52
Listwa przednia górna,215.000.20.00,ALU,3,1500,180.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.19
Listwa górna tylna,215.000.21.00,ALU,3,1500,214.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.6
Daszek,215.000.22.00,ALU,3,1516,130.8,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.61
Narożnik,215.000.24.10,CZARNA,2.5,294,242.5,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.4
Narożnik,215.000.24.20,CZARNA,2.5,294,242.5,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.4
Listwa dolna,215.000.25.00,ALU,3,1385,157.7,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.77
Listwa boczna górna,215.000.26.00,ALU,3,2824,180.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.12
Wzmocnienie ściany,215.000.27.00,ALU,2,487,86.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.23
Wzmocnienie ściany,215.000.28.00,ALU,2,367,86.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.17
Narożnik,215.000.31.00,CZARNA,2.5,294,242.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.4
Wzmocnienie ściany,215.000.33.00,ALU,2,350,65.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.12
Wzmocnienie ściany,215.000.35.00,ALU,2,446,122.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.3
Wzmocnienie ściany,215.000.36.00,ALU,2,557,106.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.32
Osłona węża,215.000.39.00,ALU,3,915,188.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.4
Słupek przedni,215.000.43.10,ALU,3,1903,180.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.78
Słupek przedni,215.000.43.20,ALU,3,1903,180.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.78
Słupek tylny,215.000.44.10,ALU,3,2004,214.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.48
Słupek tylny,215.000.44.20,ALU,3,2004,214.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.48
Mocowanie poprzeczki,215.001.02.00,CZARNA,4,119,43,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.16
Ramka drzwi pion,215.005.02.00,ALU,2,1701,102,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.94
Ramka drzwi pozioma,215.005.03.00,ALU,2,650,102,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.36
Belka przednia,215.100.01.00,OCYNK,2,1502,225.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.32
Tablica,215.100.02.00,OCYNK,2,1494,305,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.15
Podłużnica,215.100.03.10,OCYNK,2.5,2901,144.7,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,8.24
Podłużnica,215.100.03.20,OCYNK,2.5,2901,144.7,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,8.24
Listwa boczna dolna,215.100.04.10,ALU,3,2902,197.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.63
Listwa boczna dolna,215.100.04.20,ALU,3,2902,197.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.63
Poprzeczka,215.100.06.00,OCYNK,2,1390,149,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.25
Poprzeczka,215.100.07.00,OCYNK,3,1390,172.2,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.64
Mocowanie tablicy,215.100.08.00,OCYNK,3,70,148.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.24
Bellka przednia,215.100.10.00,OCYNK,2,1490,224.5,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.25
Wzmocnienie pod oś wewnętrzne,215.100.11.00,OCYNK,3,632,162.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.41
Wzmocnienie belki przedniej,215.100.12.00,OCYNK,3,1386,144.4,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.71
Wzmocnienie zewnętrzne,215.100.13.10,OCYNK,3,1240,139.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.06
Wzmocnienie zewnętrzne,215.100.13.20,OCYNK,3,1240,139.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.06
Wzmocnienie pod oś wewnętrzne,215.100.14.00,OCYNK,3,455,162.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.74
Podłużnica,215.100.15.10,OCYNK,2.5,2901,154.7,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,8.81
Podłużnica,215.100.15.20,OCYNK,2.5,2901,154.7,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,8.81
Poprzeczka,215.100.17.00,OCYNK,2,1390,158.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.46
Poprzeczka środkowa,215.100.19.00,OCYNK,2,1271,159,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.17
Belka przednia,215.100.20.00,OCYNK,2,1490,244.5,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.72
Listwa dolna tylna,215.100.25.00,ALU,3,1385,157.7,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.77
Mocowanie dyszla tylne,215.120.01.10,CZARNA,5,178,251.5,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.75
Wzmocnienie wciągarki w belce przedniej,225.100.00.03,CZARNA,4,179,71.67,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.4
Szyna najazdu,226.100.06.00,CZARNA,2.5,2490,117,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.72
Poprzeczka ramy,226.100.07.00,CZARNA,2.2,1359,171,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.01
Poprzeczka najazdu,226.100.11.00,CZARNA,2.2,1354,181,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.23
Poprzeczka ramy,226.100.17.00,CZARNA,2.5,373,213.3,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.56
Maskownica,226.101.00.01,OCYNK,1,3000,37.9,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.89
Belka przednia,226.101.01.00,CZARNA,2.2,2009,379,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,13.15
Podłużnica,226.101.02.10,CZARNA,2.2,4021,416.3,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,28.91
Podłużnica,226.101.02.20,CZARNA,2.2,4021,416.3,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,28.91
Belka oświetleniowa,226.101.03.00,CZARNA,2.2,1967,428,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,14.54
Mocowanie tylne dyszla,226.101.10.10,CZARNA,5,220,333,3,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.87
Mocowanie tylne dyszla,226.101.10.20,CZARNA,5,220,333,3,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.87
Poprzeczka ramy,226.101.15.00,CZARNA,2.2,309,215,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.15
Belka boczna,226.101.16.10,CZARNA,2.2,4023,236,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,16.4
Belka boczna,226.101.16.20,CZARNA,2.2,4023,236,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,16.4
Wzmocnienie,226.121.00.02,CZARNA,3,95,139.8,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.31
Ramię dyszla,226.121.01.10,CZARNA,3,2400,282.4,4,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,15.96
Ramię dyszla,226.121.01.20,CZARNA,3,2400,282.4,4,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,15.96
Blacha błotnika,226.220.00.01,OCYNK,1.5,320,458.9,3,1.5,PRAWDA,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.73
Wspornik,226.901.00.01,OCYNK,2.5,720,173.3,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.45
Wspornik 2,226.901.00.02,OCYNK,2.5,520,173.3,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.77
Podłużnica,227.100.02.10,CZARNA,2.5,4459,414,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,36.22
Podłużnica,227.100.02.20,CZARNA,2.5,4459,414,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,36.22
Belka boczna,227.100.15.10,CZARNA,2.5,4462,294,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,25.74
Belka boczna,227.100.15.20,CZARNA,2.5,4462,294,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,25.74
Poprzeczka ramy,227.100.17.00,CZARNA,2.5,369,213,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.54
Wzmocnienie 3osie R10C,228.100.01.00,OCYNK,4,1800,109.6,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.19
Podłużnica,228.100.02.10,CZARNA,2.5,5034,414,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,40.9
Podłużnica,228.100.02.20,CZARNA,2.5,5034,414,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,40.9
Belka boczna,228.100.15.10,CZARNA,2.5,5043,294,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,29.1
Belka boczna,228.100.15.20,CZARNA,2.5,5043,294,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,29.1
Mocowanie podpory,228.999.00.02,OCYNK,3,240,270,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.53
Łącznik sklejki,229.000.00.02,OCYNK,2,1460,107,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.45
Belka przednia,229.100.01.00,CZARNA,2.5,2115,544,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,22.58
Podłużnica,229.100.02.10,CZARNA,2.5,5858,414,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,47.59
Podłużnica,229.100.02.20,CZARNA,2.5,5858,414,6,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,47.59
Belka oświetleniowa,229.100.03.00,CZARNA,2.5,2135,430,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,18.02
Belka boczna,229.100.15.10,CZARNA,2.5,5860,294,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,33.81
Belka boczna,229.100.15.20,CZARNA,2.5,5860,294,5,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,33.81
Podstawa wózka R13,229.110.00.01,OCYNK,4,1850,224.3,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,13.03
Wzmocnienie wózka R13,229.110.00.02,OCYNK,4,1850,118.3,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.87
Błotnik A13,23.20.220.01.02,OCYNK,1.2,765,250,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.8
Błotnik A1313,23.20.220.01.03,OCYNK,1.2,1410,250,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.32
Błotnik A14,23.20.220.01.04,OCYNK,1.2,885,300,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.5
Błotnik A1414,23.20.220.01.05,OCYNK,1.2,1610,300,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.55
Błotnik,23.41.220.01.10,OCYNK,1.25,885,254,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.21
Błotnik,23.41.220.01.20,OCYNK,1.25,885,254,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.21
Wkładka,23.41.240.02.00,OCYNK,2.5,58,44.1,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.05
Blacha burty bocznej,23.59.140.01.14,OCYNK,1,2319,417,8,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,7.59
Blacha burty bocznej,23.59.140.01.24,OCYNK,1,2319,417,8,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,7.59
Ramię wspornika,23.60.123.01.14,CZARNA,4,115,139,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.5
Ramię wspornika,23.60.123.01.24,CZARNA,4,115,139,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.5
Kątownik,23.60.123.02.04,CZARNA,4,35,136,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.15
Słupek burty bocznej,23.60.140.02.12,OCYNK,2,337,179.5,2,2,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,PRAWDA,0.95
Słupek burty bocznej,23.60.140.02.22,OCYNK,2,337,179.5,2,2,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,PRAWDA,0.95
Blacha burty przód/tył,23.60.160.01.02,OCYNK,1,1234,413,11,1.5,FAŁSZ,PRAWDA,PRAWDA,FAŁSZ,FAŁSZ,4
Poprzeczka,23.60.300.01.00,OCYNK,2.5,1292,70,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.77
Wspornik,23.60.301.01.10,OCYNK,2.5,135,121.1,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.32
Wspornik,23.60.301.01.20,OCYNK,2.5,135,121.1,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.32
Wkładka,23.60.301.02.00,OCYNK,2.5,58,32,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.04
Kabłąk,23.60.311.01.00,OCYNK,2.5,1852,72,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.62
Wieżyczka,23.61.360.01.03,OCYNK,2.5,65,252,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.32
Wspornik dyszla tylny,23.71.100.07.15,CZARNA,6,125,203,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.2
Wspornik dyszla tylny,23.71.100.07.25,CZARNA,6,125,203,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.2
Tablica,23.71.103.01.05,OCYNK,2,1290,372.3,6,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.54
Ramię dyszla,23.71.120.01.15,OCYNK,2.5,1590,234,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.3
Ramię dyszla,23.71.120.01.25,OCYNK,2.5,1590,234,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.3
Płytka mocująca,23.71.126.04.00,CZARNA,6,120,135.5,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.77
Płytka dociskowa,23.72.300.01.00,OCYNK,2.5,98,61.8,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.12
Słupek stelaża,23.72.304.02.10,OCYNK,2.5,770,84,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.27
Słupek stelaża,23.72.304.02.20,OCYNK,2.5,770,84,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.27
Ustalacz,23.72.307.03.00,CZARNA,2.5,40,72,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.06
Wspornik podłużnicy,23.72.314.01.10,CZARNA,2.5,36,64,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.05
Wspornik podłużnicy,23.72.314.01.20,CZARNA,2.5,36,64,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.05
Docisk,23.75.120.02.01,OCYNK,2.5,122,76,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.18
Ramię dyszla,23.81.121.01.13,OCYNK,2.5,1500,232.44,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.84
Ramię dyszla,23.81.121.01.23,OCYNK,2.5,1500,232.44,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.84
Belka poprzeczna dyszla,23.81.122.01.03,OCYNK,2.5,966,128.8,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.44
Blacha burty przedniej tylnej,23.81.160.01.03,OCYNK,1,1233,517.1,11,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.01
Słupek burty,23.81.161.01.13,OCYNK,2,443,98,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.68
Słupek burty,23.81.161.01.23,OCYNK,2,443,98,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.68
Kabłąk,23.81.300.01.03,OCYNK,2,2180,60,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.05
